ID	plabels	alabels	longitude	latitude	PC1	PC2	RotNS	RotEW
4760	Spain	ES	-3.566114847	40.32870801	-0.0198	0.0232	-0.016823873	-0.025440859
4890	Spain	ES	-3.566114847	40.32870801	-0.0151	0.0265	-0.021294337	-0.021836007
4980	Spain	ES	-3.566114847	40.32870801	-0.016	0.0335	-0.02777292	-0.024635643
5397	Spain	ES	-3.566114847	40.32870801	-0.01	0.0443	-0.039810537	-0.021854316
5438	Spain	ES	-3.566114847	40.32870801	-0.0197	0.0433	-0.036168558	-0.030900088
5441	Italy	IT	12.5	42	-0.0367	-0.0082	0.018023907	-0.033004072
5494	Spain	ES	-3.566114847	40.32870801	-0.0111	0.0366	-0.032106451	-0.020783305
5613	Spain	ES	-3.566114847	40.32870801	-0.0171	0.0523	-0.045536582	-0.030888829
5714	Italy	IT	12.5	42	-0.0502	-0.0347	0.047222849	-0.038654011
6129	Italy	IT	12.5	42	-0.0523	-0.0283	0.041652556	-0.042441072
6429	Spain	ES	-3.566114847	40.32870801	-0.0126	0.0417	-0.036593214	-0.023634438
6717	Spain	ES	-3.566114847	40.32870801	-0.0143	0.042	-0.036411674	-0.025351134
7000	Italy	IT	12.5	42	-0.0591	-0.0152	0.030942256	-0.052596833
7526	Spain	ES	-3.566114847	40.32870801	-0.0206	0.0381	-0.030922367	-0.030327829
8326	Spain	ES	-3.566114847	40.32870801	-0.021	0.0361	-0.028889719	-0.030159479
8581	Greece	GR	22.70884659	40.03413184	-0.0316	-0.0409	0.048040584	-0.01906495
8658	Spain	ES	-3.566114847	40.32870801	-0.0168	0.0487	-0.042159728	-0.029605529
8709	Portugal	PT	-8.016392483	39.59096807	-0.0178	0.0356	-0.029293626	-0.026945936
8970	Spain	ES	-3.566114847	40.32870801	-0.0153	0.0494	-0.043247038	-0.028357428
9411	Italy	IT	12.5	42	-0.0607	-0.0217	0.037631277	-0.052338007
